"filename", "language", "C++", "JSON", "Dart", "HTML", "YAML", "CMake", "Markdown", "Swift", "XML", "Groovy", "Properties", "Java", "comment", "blank", "total"
"g:\2.Programming\BITS Project\quick_shift\quick_shift\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 7, 17
"g:\2.Programming\BITS Project\quick_shift\quick_shift\analysis_options.yaml", "YAML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"g:\2.Programming\BITS Project\quick_shift\quick_shift\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 5, 16, 77
"g:\2.Programming\BITS Project\quick_shift\quick_shift\android\app\google-services.json", "JSON", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54
"g:\2.Programming\BITS Project\quick_shift\quick_shift\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4, 1, 9
"g:\2.Programming\BITS Project\quick_shift\quick_shift\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 6, 2, 41
"g:\2.Programming\BITS Project\quick_shift\quick_shift\android\app\src\main\java\io\flutter\app\FlutterMultiDexApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 9, 4, 26
"g:\2.Programming\BITS Project\quick_shift\quick_shift\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"g:\2.Programming\BITS Project\quick_shift\quick_shift\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"g:\2.Programming\BITS Project\quick_shift\quick_shift\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
