Date : 2022-12-03 15:16:33
Directory : g:\2.Programming\BITS Project\quick_shift\quick_shift
Total : 66 files,  4093 codes, 377 comments, 436 blanks, all 4906 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         16 |      2,517 |        107 |        158 |      2,782 |
| C++        |         16 |        502 |        107 |        170 |        779 |
| XML        |         10 |        471 |         48 |         13 |        532 |
| JSON       |          7 |        316 |          0 |          4 |        320 |
| Groovy     |          3 |         92 |          5 |         25 |        122 |
| Swift      |          4 |         50 |          3 |         12 |         65 |
| HTML       |          1 |         37 |         16 |          6 |         59 |
| YAML       |          2 |         37 |         82 |         21 |        140 |
| CMake      |          2 |         37 |          0 |         12 |         49 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Java       |          1 |         13 |          9 |          4 |         26 |
| Properties |          2 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                              |         66 |      4,093 |        377 |        436 |      4,906 |
| android                                                                                                                        |         14 |        234 |         60 |         41 |        335 |
| android\app                                                                                                                    |         10 |        190 |         60 |         30 |        280 |
| android\app\src                                                                                                                |          8 |         80 |         55 |         14 |        149 |
| android\app\src\debug                                                                                                          |          1 |          4 |          4 |          1 |          9 |
| android\app\src\main                                                                                                           |          6 |         72 |         47 |         12 |        131 |
| android\app\src\main\java                                                                                                      |          1 |         13 |          9 |          4 |         26 |
| android\app\src\main\java\io                                                                                                   |          1 |         13 |          9 |          4 |         26 |
| android\app\src\main\java\io\flutter                                                                                           |          1 |         13 |          9 |          4 |         26 |
| android\app\src\main\java\io\flutter\app                                                                                       |          1 |         13 |          9 |          4 |         26 |
| android\app\src\main\res                                                                                                       |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                                              |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                                          |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                                |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                                          |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                                        |          1 |          4 |          4 |          1 |          9 |
| android\gradle                                                                                                                 |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                                         |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                                                            |          8 |        231 |          2 |          9 |        242 |
| ios\Runner                                                                                                                     |          7 |        224 |          2 |          9 |        235 |
| ios\Runner\Assets.xcassets                                                                                                     |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                                  |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                                |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                          |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                            |         15 |      2,503 |         97 |        151 |      2,751 |
| lib\screens                                                                                                                    |         10 |      2,317 |         78 |        123 |      2,518 |
